timepoint,eeg_feature,geneset,pvalue,es,ranks,nfeatures,q₀,qₜ,qᵧ
12m,peak_amp_N2_corrected,Acetate synthesis,0.0074,0.1718984724585468,"[7627, 15365, 34144, 34950, 40775, 45315, 49584, 49863, 53850, 54571, 56265, 70193, 71965, 72519, 77685, 82121, 84078, 95408, 95757, 102075, 110822, 118436, 119231, 122473, 130386, 133771, 142284, 144031, 147536, 149813, 155442, 155464, 156398, 167269, 176746, 178289, 196868, 199478, 207954, 211463, 211523, 213004, 228986, 241313, 245457, 249971, 271753, 278162, 281277, 288236, 292654, 305070, 312351, 314931, 317911, 325032, 330892, 332592, 365750, 372174, 377936, 380524, 386171, 453185, 453850, 454479, 454550, 473865, 480023, 508976, 509151, 513771, 514048, 529359, 542492, 546177, 625066, 642487, 648333, 653757, 670602, 714885, 719774]",733856,0.10175000000000001,0.052725,0.0333
12m,peak_latency_P1_corrected,Menaquinone synthesis,0.0094,-0.16321253219564325,"[5607, 10094, 24368, 39904, 43877, 51175, 60288, 63959, 66084, 68503, 68852, 75232, 76994, 81312, 82255, 82609, 92265, 120783, 144056, 144203, 151062, 163284, 171378, 183172, 184112, 184384, 184541, 187101, 191391, 217212, 222665, 250631, 251322, 259389, 265401, 271381, 273770, 316649, 325320, 331015, 333132, 342482, 346107, 356039, 369054, 372149, 378928, 381376, 385458, 388387, 388811, 394470, 416152, 435256, 473666, 484316, 492358, 493507, 494508, 502533, 509789, 525658, 527700, 529398, 551490, 551765, 576070, 578707, 579191, 583507, 593770, 628381, 630200, 636396, 642069, 649179, 661180, 661950, 670551, 687826, 707759, 710095]",733858,0.12408,0.061200000000000004,0.03384
12m,peak_latency_P1_corrected,Glutamate synthesis,0.0102,-0.19872351174757952,"[1098, 1205, 7048, 7756, 8370, 9224, 14144, 26528, 32059, 48888, 59036, 59477, 64015, 65576, 90809, 135518, 141162, 142495, 165873, 199411, 238704, 263856, 265601, 273263, 273449, 280633, 291959, 307400, 308444, 312362, 314506, 321467, 322193, 337149, 343503, 348211, 354728, 362992, 375262, 485344, 537598, 579358, 584998, 585467, 586691, 593418, 611785, 628520, 628688, 647827, 648026, 649073, 681834, 698785, 728077]",733858,0.12466666666666666,0.061200000000000004,0.03672
12m,peak_amp_N2_corrected,Inositol synthesis,0.01,0.39302621389501124,"[6109, 67087, 96288, 170508, 207733, 303314, 397968, 472156, 518488, 595820, 632760, 683228, 714620, 718390]",733856,0.12466666666666666,0.061200000000000004,0.18
3m,peak_latency_N1,Propionate degradation,0.0116,0.5469184213514057,"[7999, 218500, 406189, 476126, 476227, 520799, 560717]",572522,0.13199999999999998,0.3382604651162791,0.0888
6m,peak_latency_N1,Glutamate degradation,0.0114,-0.3542436977409761,"[103822, 135880, 294262, 297752, 313300, 315059, 315121, 315245, 325524, 333119, 374009, 440361, 455022, 535842, 576503, 577369]",641532,0.13199999999999998,0.15276,0.1026
6m,peak_latency_N2_corrected,17-beta-Estradiol degradation,0.0124,0.3622875345275878,"[50450, 132330, 171707, 176472, 202478, 262157, 292422, 334964, 371244, 375702, 410855, 428804, 433278, 479294, 573842, 590081]",641532,0.1364,0.15276,0.22319999999999998
6m,peak_latency_N1,ClpB,0.0134,0.336490863252802,"[1444, 3084, 21829, 34220, 59777, 82370, 86264, 107797, 115210, 136726, 202441, 312589, 329861, 356937, 519620, 577951, 592609, 622368, 636132]",641532,0.1381875,0.15276,0.12168
6m,peak_amp_N2_corrected,Inositol degradation,0.013,-0.4910229391262057,"[6870, 82918, 83076, 145627, 146322, 247310, 284713, 501268]",641532,0.1381875,0.15276,0.0648
3m,peak_latency_P1_corrected,Quinolinic acid degradation,0.0146,-0.1946506342000937,"[7037, 8302, 44927, 68869, 70070, 80946, 88584, 102757, 115591, 117511, 124326, 124947, 134367, 135195, 138513, 140249, 151209, 151420, 153707, 167887, 180322, 191382, 193222, 200272, 212065, 215099, 215109, 216182, 218377, 220822, 225531, 226539, 230575, 236189, 252836, 257481, 273558, 295814, 318720, 318812, 328941, 334531, 335266, 351881, 354854, 361321, 363627, 395903, 411653, 413357, 460326, 463004, 464557, 511914]",572522,0.1436470588235294,0.3382604651162791,0.1836
